2020-11-21 00:17:59:908 INFO  o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1c8f6c66, org.springframework.security.web.context.SecurityContextPersistenceFilter@5ff00507, org.springframework.security.web.header.HeaderWriterFilter@46fb0c33, org.springframework.web.filter.CorsFilter@552cede7, org.springframework.security.web.authentication.logout.LogoutFilter@45117dd, com.softwarelab.application.config.rest.RestLoginProcessingFilter@1b7f06c7, com.softwarelab.application.config.jwt.JwtTokenAuthenticationProcessingFilter@151732fb, com.softwarelab.application.config.jwt.JwtTokenAuthenticationProcessingFilter@729c8063, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@67fa5045, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4fc165f6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@40ed1802, org.springframework.security.web.session.SessionManagementFilter@270a620, org.springframework.security.web.access.ExceptionTranslationFilter@51e754e1, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3ba1308d]
2020-11-21 00:18:00:223 INFO  o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor'
2020-11-21 00:18:00:602 INFO  c.s.a.s.i.DockerContainerServiceImplTest : Started DockerContainerServiceImplTest in 3.448 seconds (JVM running for 4.407)
2020-11-21 00:18:16:991 INFO  c.s.a.s.i.DockerContainerServiceImpl : download complete
2020-11-21 00:18:49:272 INFO  o.s.s.c.ThreadPoolTaskExecutor : Shutting down ExecutorService 'applicationTaskExecutor'
2020-11-21 00:18:49:273 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2020-11-21 00:18:49:274 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
2020-11-21 00:19:27:747 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest], using SpringBootContextLoader
2020-11-21 00:19:27:751 INFO  o.s.t.c.s.AbstractContextLoader : Could not detect default resource locations for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-11-21 00:19:27:752 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.softwarelab.application.service.impl.DockerContainerServiceImplTest]: DockerContainerServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
